"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PRT","Portugal","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,57.3,,
"AUS","Australia","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,81.8,,
"ESP","Spain","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,67.9,,
"BEL","Belgium","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2013","2013","PC","Percentage","0","Units",,,68,,
"MEX","Mexico","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,37.5,,
"ISL","Iceland","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2013","2013","PC","Percentage","0","Units",,,66.6,,
"BEL","Belgium","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,41,,
"CZE","Czech Republic","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,55.6,,
"EST","Estonia","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2011","2011","PC","Percentage","0","Units",,,57.1,,
"SVN","Slovenia","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,73.7,,
"AUT","Austria","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2011","2011","PC","Percentage","0","Units",,,54,,
"LUX","Luxembourg","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2000","2000","PC","Percentage","0","Units",,,77.7,,
"NZL","New Zealand","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2012","2012","PC","Percentage","0","Units",,,54.4,,
"CHL","Chile","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2011","2011","PC","Percentage","0","Units",,,83.6,,
"EST","Estonia","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,58.2,,
"ISR","Israel","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2011","2011","PC","Percentage","0","Units",,,79.2,,
"OAVG","OECD - Average","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,47.4,,
"GBR","United Kingdom","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,51.5,,
"NLD","Netherlands","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,71.6,,
"LUX","Luxembourg","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","1995","1995","PC","Percentage","0","Units",,,39.8,,
"NLD","Netherlands","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2013","2013","PC","Percentage","0","Units",,,68.6,,
"USA","United States","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,79.5,,
"NLD","Netherlands","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,38.4,,
"ISL","Iceland","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,64.9,,
"DNK","Denmark","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,55.8,,
"KOR","Korea","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2012","2012","PC","Percentage","0","Units",,,55.8,,
"DNK","Denmark","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2000","2000","PC","Percentage","0","Units",,,78.6,,
"LUX","Luxembourg","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2012","2012","PC","Percentage","0","Units",,,47,,
"DEU","Germany","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","1995","1995","PC","Percentage","0","Units",,,75.3,,
"FRA","France","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2012","2012","PC","Percentage","0","Units",,,69.2,,
"MEX","Mexico","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2011","2011","PC","Percentage","0","Units",,,41.3,,
"CHL","Chile","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,80.8,,
"NOR","Norway","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,57.7,,
"SVK","Slovak Republic","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,50.1,,
"NOR","Norway","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2013","2013","PC","Percentage","0","Units",,,57.9,,
"ITA","Italy","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2012","2012","PC","Percentage","0","Units",,,66.6,,
"CHL","Chile","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2013","2013","PC","Percentage","0","Units",,,49,,
"IRL","Ireland","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2013","2013","PC","Percentage","0","Units",,,65,,
"FIN","Finland","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2013","2013","PC","Percentage","0","Units",,,68.7,,
"HUN","Hungary","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,49.9,,
"ESP","Spain","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,80.3,,
"IRL","Ireland","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,63.5,,
"POL","Poland","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,48.6,,
"MEX","Mexico","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2011","2011","PC","Percentage","0","Units",,,90.5,,
"KOR","Korea","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2013","2013","PC","Percentage","0","Units",,,57.2,,
"ISR","Israel","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2012","2012","PC","Percentage","0","Units",,,79.7,,
"ISR","Israel","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","1995","1995","PC","Percentage","0","Units",,,88.7,,
"LUX","Luxembourg","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2012","2012","PC","Percentage","0","Units",,,73,,
"AUT","Austria","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,80.5,,
"NZL","New Zealand","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2000","2000","PC","Percentage","0","Units",,,85.4,,
"FIN","Finland","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,68.7,,
"GRC","Greece","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,45.3,,
"SVK","Slovak Republic","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,67.8,,
"DEU","Germany","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,46.1,,
"BEL","Belgium","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2012","2012","PC","Percentage","0","Units",,,46.3,,
"USA","United States","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2012","2012","PC","Percentage","0","Units",,,73.1,,
"USA","United States","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2000","2000","PC","Percentage","0","Units",,,83.3,,
"POL","Poland","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2013","2013","PC","Percentage","0","Units",,,71,,
"KOR","Korea","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2000","2000","PC","Percentage","0","Units",,,96.8,,
"NLD","Netherlands","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2011","2011","PC","Percentage","0","Units",,,71.2,,
"HUN","Hungary","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2012","2012","PC","Percentage","0","Units",,,62,,
"FRA","France","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2011","2011","PC","Percentage","0","Units",,,51.3,,
"GBR","United Kingdom","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,77.5,,
"CHE","Switzerland","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2011","2011","PC","Percentage","0","Units",,,51.9,,
"EST","Estonia","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,62.1,,
"CHE","Switzerland","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,50.3,,
"PRT","Portugal","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2013","2013","PC","Percentage","0","Units",,,64.8,,
"CHL","Chile","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,44.7,,
"NZL","New Zealand","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","1995","1995","PC","Percentage","0","Units",,,47.8,,
"FIN","Finland","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2011","2011","PC","Percentage","0","Units",,,58.8,,
"NLD","Netherlands","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2012","2012","PC","Percentage","0","Units",,,42.3,,
"MEX","Mexico","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,95.6,,
"DEU","Germany","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,76.5,,
"IRL","Ireland","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,45.3,,
"NOR","Norway","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2011","2011","PC","Percentage","0","Units",,,56.8,,
"ISR","Israel","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,54.1,,
"HUN","Hungary","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","1995","1995","PC","Percentage","0","Units",,,64.3,,
"DNK","Denmark","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","1995","1995","PC","Percentage","0","Units",,,77.9,,
"POL","Poland","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,69.7,,
"PRT","Portugal","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,71.2,,
"CZE","Czech Republic","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2012","2012","PC","Percentage","0","Units",,,79.2,,
"GBR","United Kingdom","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2013","2013","PC","Percentage","0","Units",,,78.3,,
"EST","Estonia","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2013","2013","PC","Percentage","0","Units",,,71.6,,
"GBR","United Kingdom","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,50.4,,
"GRC","Greece","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,77.9,,
"OAVG","OECD - Average","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2011","2011","PC","Percentage","0","Units",,,73.7,,
"BEL","Belgium","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,45.9,,
"NLD","Netherlands","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2013","2013","PC","Percentage","0","Units",,,42.6,,
"FIN","Finland","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2012","2012","PC","Percentage","0","Units",,,59.4,,
"USA","United States","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,59.2,,
"SWE","Sweden","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,61.4,,
"ITA","Italy","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2011","2011","PC","Percentage","0","Units",,,38.4,,
"FIN","Finland","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,58.3,,
"AUT","Austria","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,52.2,,
"PRT","Portugal","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","1995","1995","PC","Percentage","0","Units",,,53,,
"MEX","Mexico","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2013","2013","PC","Percentage","0","Units",,,42.7,,
"MEX","Mexico","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,41.4,,
"LUX","Luxembourg","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2011","2011","PC","Percentage","0","Units",,,46.9,,
"NZL","New Zealand","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2012","2012","PC","Percentage","0","Units",,,81.3,,
"NOR","Norway","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,72.8,,
"POL","Poland","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2012","2012","PC","Percentage","0","Units",,,50.5,,
"FRA","France","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2011","2011","PC","Percentage","0","Units",,,69.6,,
"OAVG","OECD - Average","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","1995","1995","PC","Percentage","0","Units",,,79.4,,
"BRA","Brazil","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2011","2011","PC","Percentage","0","Units",,,84.4,,
"ESP","Spain","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,47.9,,
"GRC","Greece","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2013","2013","PC","Percentage","0","Units",,,63.9,,
"TUR","Türkiye","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2011","2011","PC","Percentage","0","Units",,,90.1,,
"BEL","Belgium","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2000","2000","PC","Percentage","0","Units",,,70.8,,
"FRA","France","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,70.9,,
"CHE","Switzerland","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,85.7,,
"USA","United States","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2011","2011","PC","Percentage","0","Units",,,56.2,,
"FRA","France","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","1995","1995","PC","Percentage","0","Units",,,46.3,,
"DEU","Germany","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2011","2011","PC","Percentage","0","Units",,,77.9,,
"POL","Poland","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2011","2011","PC","Percentage","0","Units",,,70.1,,
"SVN","Slovenia","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2012","2012","PC","Percentage","0","Units",,,68.8,,
"AUS","Australia","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,49.1,,
"IRL","Ireland","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2012","2012","PC","Percentage","0","Units",,,43,,
"AUS","Australia","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2012","2012","PC","Percentage","0","Units",,,80.1,,
"SVK","Slovak Republic","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2011","2011","PC","Percentage","0","Units",,,68.7,,
"NLD","Netherlands","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2000","2000","PC","Percentage","0","Units",,,75.4,,
"GBR","United Kingdom","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2012","2012","PC","Percentage","0","Units",,,50.7,,
"AUT","Austria","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2011","2011","PC","Percentage","0","Units",,,80.3,,
"ITA","Italy","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,72.6,,
"DNK","Denmark","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2013","2013","PC","Percentage","0","Units",,,65.5,,
"OAVG","OECD - Average","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2013","2013","PC","Percentage","0","Units",,,49.8,,
"DNK","Denmark","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,66.8,,
"OAVG","OECD - Average","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,50.1,,
"AUT","Austria","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","1995","1995","PC","Percentage","0","Units",,,80.7,,
"FRA","France","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,51.2,,
"GRC","Greece","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","1995","1995","PC","Percentage","0","Units",,,37.9,,
"BRA","Brazil","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2013","2013","PC","Percentage","0","Units",,,48.4,,
"TUR","Türkiye","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2013","2013","PC","Percentage","0","Units",,,29.8,,
"PRT","Portugal","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2012","2012","PC","Percentage","0","Units",,,65.3,,
"NZL","New Zealand","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,87.8,,
"SVK","Slovak Republic","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","1995","1995","PC","Percentage","0","Units",,,74,,
"ISR","Israel","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,78.1,,
"EST","Estonia","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2012","2012","PC","Percentage","0","Units",,,70.4,,
"IRL","Ireland","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2000","2000","PC","Percentage","0","Units",,,80.4,,
"CZE","Czech Republic","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2011","2011","PC","Percentage","0","Units",,,79,,
"DNK","Denmark","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2012","2012","PC","Percentage","0","Units",,,53.7,,
"NZL","New Zealand","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2005","2005","PC","Percentage","0","Units",,,53.4,,
"MEX","Mexico","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","1995","1995","PC","Percentage","0","Units",,,94.5,,
"NOR","Norway","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2011","2011","PC","Percentage","0","Units",,,71.1,,
"AUS","Australia","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2011","2011","PC","Percentage","0","Units",,,51.5,,
"NZL","New Zealand","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2011","2011","PC","Percentage","0","Units",,,54.1,,
"KOR","Korea","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2013","2013","PC","Percentage","0","Units",,,86.5,,
"CZE","Czech Republic","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,79.6,,
"BRA","Brazil","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,50.3,,
"GBR","United Kingdom","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2000","2000","PC","Percentage","0","Units",,,85.8,,
"AUT","Austria","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,53.9,,
"KOR","Korea","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,89.2,,
"SVK","Slovak Republic","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,52.2,,
"AUT","Austria","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2013","2013","PC","Percentage","0","Units",,,54.5,,
"HUN","Hungary","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,65.1,,
"CHL","Chile","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,40,,
"GBR","United Kingdom","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2011","2011","PC","Percentage","0","Units",,,51,,
"CHE","Switzerland","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","1995","1995","PC","Percentage","0","Units",,,91.6,,
"IRL","Ireland","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","1995","1995","PC","Percentage","0","Units",,,75.2,,
"ISR","Israel","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2000","2000","PC","Percentage","0","Units",,,81.1,,
"GRC","Greece","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2010","2010","PC","Percentage","0","Units",,,48,,
"OAVG","OECD - Average","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2012","2012","PC","Percentage","0","Units",,,73.1,,
"SVN","Slovenia","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2012","2012","PC","Percentage","0","Units",,,58.5,,
"BRA","Brazil","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2005","2005","PC","Percentage","0","Units",,,86.7,,
"IRL","Ireland","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2000","2000","PC","Percentage","0","Units",,,42,,
"AUT","Austria","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2010","2010","PC","Percentage","0","Units",,,80.1,,
"MEX","Mexico","EMP7","Full-time equivalent employment rate, by sex","MEN","Men","1564","15-64","2013","2013","PC","Percentage","0","Units",,,90.8,,
"SWE","Sweden","EMP7","Full-time equivalent employment rate, by sex","WOMEN","Women","1564","15-64","2013","2013","PC","Percentage","0","Units",,,61.8,,
